index,suite,case,relative_input,source,algorithm,status,failure_kind,reason,wall_seconds,worker_seconds,exit_code,solver_status,placement_optimal,ilp_runtime_seconds,drc_passed,violation_count,control_required,control_passed,is_placed_and_routed,total_channel_manhattan_length,physical_area,padded_area,output_json,metrics_json,log,artifact_dir
1,lfr,lfr__CIDAR_Lab_Past_Devices__Chemostat_Chip__Chemostat_Chip_fromLFR,CIDAR_Lab_Past_Devices/Chemostat_Chip/Chemostat_Chip_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Chemostat_Chip/Chemostat_Chip_fromLFR.json,tree,success,,,14.254,13.984426,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Chemostat_Chip__Chemostat_Chip_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Chemostat_Chip__Chemostat_Chip_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Chemostat_Chip__Chemostat_Chip_fromLFR
2,lfr,lfr__CIDAR_Lab_Past_Devices__Dna_Synthesizer__Dna_Synthesizer_fromLFR,CIDAR_Lab_Past_Devices/Dna_Synthesizer/Dna_Synthesizer_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Dna_Synthesizer/Dna_Synthesizer_fromLFR.json,tree,success,,,36.169,35.874142,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Dna_Synthesizer__Dna_Synthesizer_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Dna_Synthesizer__Dna_Synthesizer_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Dna_Synthesizer__Dna_Synthesizer_fromLFR
3,lfr,lfr__CIDAR_Lab_Past_Devices__Dual_Lane_Droplet__Dual_Lane_Droplet_fromLFR,CIDAR_Lab_Past_Devices/Dual_Lane_Droplet/Dual_Lane_Droplet_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Dual_Lane_Droplet/Dual_Lane_Droplet_fromLFR.json,tree,success,,,2.774,2.521782,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Dual_Lane_Droplet__Dual_Lane_Droplet_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Dual_Lane_Droplet__Dual_Lane_Droplet_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Dual_Lane_Droplet__Dual_Lane_Droplet_fromLFR
4,lfr,lfr__CIDAR_Lab_Past_Devices__Genetic_Clock_Testing_Tool__Genetic_Clock_Testing_Tool_fromLFR,CIDAR_Lab_Past_Devices/Genetic_Clock_Testing_Tool/Genetic_Clock_Testing_Tool_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Genetic_Clock_Testing_Tool/Genetic_Clock_Testing_Tool_fromLFR.json,tree,success,,,1.068,0.847259,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Genetic_Clock_Testing_Tool__Genetic_Clock_Testing_Tool_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Genetic_Clock_Testing_Tool__Genetic_Clock_Testing_Tool_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Genetic_Clock_Testing_Tool__Genetic_Clock_Testing_Tool_fromLFR
5,lfr,lfr__CIDAR_Lab_Past_Devices__Glycoform__Glycoform_fromLFR,CIDAR_Lab_Past_Devices/Glycoform/Glycoform_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Glycoform/Glycoform_fromLFR.json,tree,success,,,1.168,0.92076,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Glycoform__Glycoform_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Glycoform__Glycoform_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Glycoform__Glycoform_fromLFR
6,lfr,lfr__CIDAR_Lab_Past_Devices__Grad_Cells__Grad_Cells_fromLFR,CIDAR_Lab_Past_Devices/Grad_Cells/Grad_Cells_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Grad_Cells/Grad_Cells_fromLFR.json,tree,success,,,1.519,1.283836,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Grad_Cells__Grad_Cells_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Grad_Cells__Grad_Cells_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Grad_Cells__Grad_Cells_fromLFR
7,lfr,lfr__CIDAR_Lab_Past_Devices__Gradient__Gradient_fromLFR,CIDAR_Lab_Past_Devices/Gradient/Gradient_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Gradient/Gradient_fromLFR.json,tree,success,,,2.171,1.925726,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Gradient__Gradient_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Gradient__Gradient_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Gradient__Gradient_fromLFR
8,lfr,lfr__CIDAR_Lab_Past_Devices__Hasty_Cell_Traps__Hasty_Cell_Traps_fromLFR,CIDAR_Lab_Past_Devices/Hasty_Cell_Traps/Hasty_Cell_Traps_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Hasty_Cell_Traps/Hasty_Cell_Traps_fromLFR.json,tree,success,,,1.018,0.782107,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Hasty_Cell_Traps__Hasty_Cell_Traps_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Hasty_Cell_Traps__Hasty_Cell_Traps_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Hasty_Cell_Traps__Hasty_Cell_Traps_fromLFR
9,lfr,lfr__CIDAR_Lab_Past_Devices__Hmlp_Dual_Bank__Hmlp_Dual_Bank_fromLFR,CIDAR_Lab_Past_Devices/Hmlp_Dual_Bank/Hmlp_Dual_Bank_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Hmlp_Dual_Bank/Hmlp_Dual_Bank_fromLFR.json,tree,success,,,11.498,11.2287,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Hmlp_Dual_Bank__Hmlp_Dual_Bank_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Hmlp_Dual_Bank__Hmlp_Dual_Bank_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Hmlp_Dual_Bank__Hmlp_Dual_Bank_fromLFR
10,lfr,lfr__CIDAR_Lab_Past_Devices__Incubator__Incubator_fromLFR,CIDAR_Lab_Past_Devices/Incubator/Incubator_fromLFR.json,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/LFR_TestCases/CIDAR_Lab_Past_Devices/Incubator/Incubator_fromLFR.json,tree,success,,,5.832,5.604314,0,,,,,,,,True,,,,/home/student/Desktop/Neptune_2026/Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Incubator__Incubator_fromLFR/result.json,,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/logs/lfr__CIDAR_Lab_Past_Devices__Incubator__Incubator_fromLFR.log,Microfluidics-Benchmarks/Results/tree_full_20260918_100349/artifacts/lfr__CIDAR_Lab_Past_Devices__Incubator__Incubator_fromLFR
